---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 32.93333333333333] [Damage event] PLANE_ATTACK: plane 98 damaged by 3 for 1 damage, now dead
[Turn 33.06666666666667] [Damage event] PLANE_ATTACK: plane 14 damaged by 2 for 1 damage, now dead
[Turn 33.13333333333333] [Damage event] PLANE_ATTACK: plane 55 damaged by 2 for 1 damage, now dead
[Turn 33.266666666666666] [Damage event] PLANE_ATTACK: plane 86 damaged by 2 for 1 damage, now dead
[Turn 33.266666666666666] [Damage event] PLANE_ATTACK: plane 60 damaged by 3 for 1 damage, now dead
[Turn 33.333333333333336] [Damage event] PLANE_ATTACK: plane 66 damaged by 3 for 1 damage, now dead
[Turn 33.4] [Damage event] PLANE_ATTACK: plane 69 damaged by 3 for 1 damage, now dead
[Turn 33.6] [Damage event] PLANE_ATTACK: plane 100 damaged by 3 for 1 damage, now dead
[Turn 33.93333333333333] [Damage event] PLANE_ATTACK: plane 13 damaged by 2 for 1 damage, now dead
[Turn 34] [Damage event] PLANE_ATTACK: plane 15 damaged by 2 for 1 damage, now dead
[Turn 34] [Damage event] PLANE_ATTACK: plane 45 damaged by 3 for 1 damage, now dead
[Turn 34.266666666666666] [Damage event] PLANE_ATTACK: plane 44 damaged by 3 for 1 damage, now dead
[Turn 34.4] [Damage event] PLANE_ATTACK: plane 78 damaged by 3 for 1 damage, now dead
[Turn 34.4] [Damage event] PLANE_ATTACK: plane 96 damaged by 3 for 1 damage, now dead
[Turn 34.53333333333333] [Damage event] PLANE_ATTACK: plane 12 damaged by 2 for 1 damage, now dead
[Turn 34.53333333333333] [Damage event] PLANE_ATTACK: plane 88 damaged by 2 for 1 damage, now dead
[Turn 34.733333333333334] [Damage event] PLANE_ATTACK: plane 89 damaged by 2 for 1 damage, now dead
[Turn 36.53333333333333] [Damage event] PLANE_ATTACK: plane 43 damaged by 3 for 1 damage, now dead
[Turn 36.733333333333334] [Damage event] PLANE_ATTACK: plane 63 damaged by 3 for 1 damage, now dead
[Turn 36.733333333333334] [Damage event] PLANE_ATTACK: plane 72 damaged by 3 for 1 damage, now dead
[Turn 37] [Damage event] PLANE_ATTACK: plane 42 damaged by 2 for 1 damage, now dead
[Turn 37.666666666666664] [Damage event] PLANE_ATTACK: plane 101 damaged by 3 for 1 damage, now dead
[Turn 37.86666666666667] [Damage event] PLANE_ATTACK: plane 76 damaged by 3 for 1 damage, now dead
[Turn 38.86666666666667] [Damage event] PLANE_ATTACK: plane 25 damaged by 3 for 1 damage, now dead
[Turn 39.13333333333333] [Damage event] PLANE_ATTACK: plane 21 damaged by 0 for 1 damage, now dead
[Turn 39.13333333333333] [Damage event] PLANE_ATTACK: plane 94 damaged by 3 for 1 damage, now dead
[Turn 39.2] [Damage event] PLANE_ATTACK: plane 57 damaged by 1 for 1 damage, now dead
[Turn 39.46666666666667] [Damage event] PLANE_ATTACK: plane 34 damaged by 1 for 1 damage, now dead
[Turn 39.93333333333333] [Damage event] PLANE_ATTACK: plane 56 damaged by 0 for 1 damage, now dead
[Turn 41.2] [Damage event] PLANE_ATTACK: plane 80 damaged by 2 for 1 damage, now dead
[Turn 43] [Damage event] PLANE_ATTACK: plane 81 damaged by 3 for 1 damage, now dead
[Turn 43.4] [Damage event] PLANE_ATTACK: plane 18 damaged by 0 for 1 damage, now dead
[Turn 43.4] [Damage event] PLANE_ATTACK: plane 18 damaged by 1 for 1 damage, now dead
[Turn 43.4] [Damage event] PLANE_ATTACK: plane 64 damaged by 3 for 1 damage, now dead
[Turn 43.46666666666667] [Damage event] COLLISION: plane 31 damaged by 1 for 1 damage, now dead
[Turn 43.46666666666667] [Damage event] COLLISION: plane 1 damaged by 31 for 20 damage, now dead
[Turn 43.8] [Damage event] BORDER: plane 2 damaged for 10 damage, now dead
[Turn 45.46666666666667] [Damage event] PLANE_ATTACK: plane 79 damaged by 0 for 1 damage, now dead
[Turn 47.333333333333336] [Damage event] PLANE_ATTACK: plane 27 damaged by 0 for 1 damage, now dead
[Turn 48.333333333333336] [Damage event] PLANE_ATTACK: plane 83 damaged by 5 for 1 damage, now dead
[Turn 49.733333333333334] [Damage event] COLLISION: plane 58 damaged by 0 for 1 damage, now dead
[Turn 49.733333333333334] [Damage event] COLLISION: plane 0 damaged by 58 for 20 damage, now dead
[Turn 49.93333333333333] [Damage event] PLANE_ATTACK: plane 92 damaged by 5 for 1 damage, now dead
[Turn 53] [Damage event] PLANE_ATTACK: plane 54 damaged by 4 for 1 damage, now dead
[Turn 55.333333333333336] [Damage event] PLANE_ATTACK: plane 84 damaged by 5 for 1 damage, now dead
[Turn 58.93333333333333] [Damage event] PLANE_ATTACK: plane 74 damaged by 4 for 1 damage, now dead
[Turn 60.06666666666667] [Damage event] COLLISION: plane 70 damaged by 5 for 1 damage, now dead
[Turn 60.06666666666667] [Damage event] COLLISION: plane 5 damaged by 70 for 5 damage, now dead
[Turn 60.2] [Damage event] BORDER: plane 3 damaged for 10 damage, now dead
[Turn 63.53333333333333] [Damage event] PLANE_ATTACK: plane 71 damaged by 4 for 1 damage, now dead
[Turn 69.4] [Damage event] BORDER: plane 4 damaged for 5 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----
[Turn 0] [Validation Error] Player 0 attempted to spend over max spend 1000 (1100), locked plane choice to before over max spend

