---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 28.8] [Damage event] PLANE_ATTACK: plane 12 damaged by 3 for 1 damage, still alive
[Turn 29] [Damage event] PLANE_ATTACK: plane 12 damaged by 3 for 1 damage, still alive
[Turn 29.066666666666666] [Damage event] PLANE_ATTACK: plane 3 damaged by 12 for 1 damage, still alive
[Turn 30.2] [Damage event] PLANE_ATTACK: plane 3 damaged by 10 for 1 damage, still alive
[Turn 35.06666666666667] [Damage event] PLANE_ATTACK: plane 14 damaged by 4 for 1 damage, still alive
[Turn 35.4] [Damage event] PLANE_ATTACK: plane 7 damaged by 1 for 1 damage, still alive
[Turn 49.266666666666666] [Damage event] PLANE_ATTACK: plane 4 damaged by 14 for 1 damage, still alive
[Turn 50] [Damage event] PLANE_ATTACK: plane 4 damaged by 14 for 1 damage, still alive
[Turn 58] [Damage event] PLANE_ATTACK: plane 13 damaged by 1 for 1 damage, still alive
[Turn 58.6] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, still alive
[Turn 59] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, still alive
[Turn 93.53333333333333] [Damage event] PLANE_ATTACK: plane 10 damaged by 2 for 1 damage, still alive
[Turn 94] [Damage event] PLANE_ATTACK: plane 10 damaged by 2 for 1 damage, still alive
[Turn 95] [Damage event] PLANE_ATTACK: plane 10 damaged by 2 for 1 damage, still alive
[Turn 96] [Damage event] PLANE_ATTACK: plane 10 damaged by 2 for 1 damage, still alive
[Turn 96.8] [Damage event] PLANE_ATTACK: plane 6 damaged by 3 for 1 damage, still alive
[Turn 97] [Damage event] PLANE_ATTACK: plane 6 damaged by 3 for 1 damage, still alive
[Turn 97.46666666666667] [Damage event] COLLISION: plane 10 damaged by 2 for 1 damage, now dead
[Turn 97.46666666666667] [Damage event] COLLISION: plane 2 damaged by 10 for 10 damage, now dead
[Turn 98] [Damage event] PLANE_ATTACK: plane 6 damaged by 3 for 1 damage, still alive
[Turn 108.46666666666667] [Damage event] PLANE_ATTACK: plane 8 damaged by 1 for 1 damage, still alive
[Turn 109] [Damage event] PLANE_ATTACK: plane 8 damaged by 1 for 1 damage, still alive
[Turn 111.66666666666667] [Damage event] PLANE_ATTACK: plane 6 damaged by 1 for 1 damage, still alive
[Turn 113] [Damage event] PLANE_ATTACK: plane 11 damaged by 0 for 1 damage, still alive
[Turn 115.4] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, still alive
[Turn 116] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, still alive
[Turn 144.66666666666666] [Damage event] PLANE_ATTACK: plane 11 damaged by 4 for 1 damage, still alive
[Turn 145] [Damage event] PLANE_ATTACK: plane 11 damaged by 4 for 1 damage, still alive
[Turn 148.66666666666666] [Damage event] PLANE_ATTACK: plane 1 damaged by 12 for 1 damage, still alive
[Turn 149] [Damage event] PLANE_ATTACK: plane 1 damaged by 12 for 1 damage, still alive
[Turn 153.93333333333334] [Damage event] PLANE_ATTACK: plane 4 damaged by 5 for 1 damage, still alive
