---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 0 on 9001
Connected to team 1 on 9002
Game started!
[Turn 28.133333333333333] [Damage event] PLANE_ATTACK: plane 7 damaged by 3 for 1 damage, still alive
[Turn 29] [Damage event] PLANE_ATTACK: plane 7 damaged by 3 for 1 damage, still alive
[Turn 39.53333333333333] [Damage event] PLANE_ATTACK: plane 10 damaged by 0 for 1 damage, still alive
[Turn 40] [Damage event] PLANE_ATTACK: plane 10 damaged by 0 for 1 damage, still alive
[Turn 41] [Damage event] PLANE_ATTACK: plane 10 damaged by 0 for 1 damage, still alive
[Turn 42] [Damage event] PLANE_ATTACK: plane 10 damaged by 0 for 1 damage, still alive
[Turn 43] [Damage event] PLANE_ATTACK: plane 10 damaged by 0 for 1 damage, still alive
[Turn 44] [Damage event] PLANE_ATTACK: plane 10 damaged by 0 for 1 damage, still alive
[Turn 45] [Damage event] PLANE_ATTACK: plane 10 damaged by 0 for 1 damage, still alive
[Turn 53] [Damage event] PLANE_ATTACK: plane 10 damaged by 2 for 1 damage, still alive
[Turn 66] [Damage event] PLANE_ATTACK: plane 5 damaged by 8 for 1 damage, still alive
[Turn 85.8] [Damage event] PLANE_ATTACK: plane 4 damaged by 8 for 1 damage, still alive
[Turn 86] [Damage event] PLANE_ATTACK: plane 4 damaged by 8 for 1 damage, still alive
[Turn 87.53333333333333] [Damage event] PLANE_ATTACK: plane 5 damaged by 8 for 1 damage, still alive
[Turn 88] [Damage event] PLANE_ATTACK: plane 5 damaged by 8 for 1 damage, still alive
[Turn 90.4] [Damage event] PLANE_ATTACK: plane 1 damaged by 10 for 1 damage, still alive
[Turn 91] [Damage event] PLANE_ATTACK: plane 1 damaged by 10 for 1 damage, still alive
[Turn 118.06666666666666] [Damage event] BORDER: plane 0 damaged for 20 damage, now dead
[Turn 125.33333333333333] [Damage event] PLANE_ATTACK: plane 2 damaged by 9 for 1 damage, still alive
[Turn 133.66666666666666] [Damage event] PLANE_ATTACK: plane 1 damaged by 8 for 1 damage, still alive
[Turn 134] [Damage event] PLANE_ATTACK: plane 1 damaged by 8 for 1 damage, still alive
[Turn 148.86666666666667] [Damage event] PLANE_ATTACK: plane 5 damaged by 7 for 1 damage, still alive
[Turn 149] [Damage event] PLANE_ATTACK: plane 5 damaged by 7 for 1 damage, now dead
[Turn 149.26666666666668] [Damage event] PLANE_ATTACK: plane 8 damaged by 1 for 1 damage, still alive
[Turn 149.86666666666667] [Damage event] PLANE_ATTACK: plane 8 damaged by 2 for 1 damage, still alive
[Turn 150] [Damage event] PLANE_ATTACK: plane 8 damaged by 1 for 1 damage, still alive
[Turn 150] [Damage event] PLANE_ATTACK: plane 8 damaged by 2 for 1 damage, still alive
[Turn 151] [Damage event] PLANE_ATTACK: plane 8 damaged by 1 for 1 damage, still alive
[Turn 152] [Damage event] PLANE_ATTACK: plane 8 damaged by 1 for 1 damage, still alive
[Turn 153.8] [Damage event] PLANE_ATTACK: plane 1 damaged by 6 for 1 damage, still alive
[Turn 154] [Damage event] PLANE_ATTACK: plane 1 damaged by 6 for 1 damage, still alive
[Turn 158.33333333333334] [Damage event] PLANE_ATTACK: plane 4 damaged by 9 for 1 damage, still alive
[Turn 159] [Damage event] PLANE_ATTACK: plane 4 damaged by 9 for 1 damage, still alive
[Turn 198.46666666666667] [Damage event] PLANE_ATTACK: plane 10 damaged by 1 for 1 damage, still alive
[Turn 205.33333333333334] [Damage event] PLANE_ATTACK: plane 4 damaged by 8 for 1 damage, now dead
