---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 0 on 9001
Connected to team 1 on 9002
Game started!
[Turn 472] [Damage event] PLANE_ATTACK: plane 46 damaged by 101 for 1 damage, now dead
[Turn 472.2] [Damage event] PLANE_ATTACK: plane 37 damaged by 100 for 1 damage, now dead
[Turn 472.2] [Damage event] PLANE_ATTACK: plane 37 damaged by 101 for 1 damage, now dead
[Turn 472.3333333333333] [Damage event] PLANE_ATTACK: plane 45 damaged by 100 for 1 damage, now dead
[Turn 472.3333333333333] [Damage event] PLANE_ATTACK: plane 45 damaged by 101 for 1 damage, now dead
[Turn 472.46666666666664] [Damage event] PLANE_ATTACK: plane 21 damaged by 100 for 1 damage, now dead
[Turn 472.46666666666664] [Damage event] PLANE_ATTACK: plane 21 damaged by 101 for 1 damage, now dead
[Turn 472.53333333333336] [Damage event] PLANE_ATTACK: plane 35 damaged by 101 for 1 damage, now dead
[Turn 472.53333333333336] [Damage event] PLANE_ATTACK: plane 44 damaged by 101 for 1 damage, now dead
[Turn 472.6] [Damage event] PLANE_ATTACK: plane 39 damaged by 100 for 1 damage, now dead
[Turn 472.6] [Damage event] PLANE_ATTACK: plane 39 damaged by 101 for 1 damage, now dead
[Turn 472.6666666666667] [Damage event] PLANE_ATTACK: plane 40 damaged by 101 for 1 damage, now dead
[Turn 472.73333333333335] [Damage event] PLANE_ATTACK: plane 32 damaged by 100 for 1 damage, now dead
[Turn 472.73333333333335] [Damage event] PLANE_ATTACK: plane 32 damaged by 101 for 1 damage, now dead
[Turn 472.8] [Damage event] PLANE_ATTACK: plane 34 damaged by 100 for 1 damage, now dead
[Turn 472.8] [Damage event] PLANE_ATTACK: plane 34 damaged by 101 for 1 damage, now dead
[Turn 472.8] [Damage event] PLANE_ATTACK: plane 43 damaged by 101 for 1 damage, now dead
[Turn 472.8666666666667] [Damage event] PLANE_ATTACK: plane 47 damaged by 101 for 1 damage, now dead
[Turn 472.93333333333334] [Damage event] PLANE_ATTACK: plane 25 damaged by 101 for 1 damage, now dead
