---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 63 damaged by 111 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 73 damaged by 111 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 92 damaged by 111 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 63 damaged by 112 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 73 damaged by 112 for 1 damage, now dead
[Turn 29.533333333333335] [Damage event] PLANE_ATTACK: plane 83 damaged by 112 for 1 damage, now dead
[Turn 29.533333333333335] [Damage event] PLANE_ATTACK: plane 93 damaged by 112 for 1 damage, now dead
[Turn 29.6] [Damage event] PLANE_ATTACK: plane 53 damaged by 111 for 1 damage, now dead
[Turn 29.6] [Damage event] PLANE_ATTACK: plane 82 damaged by 111 for 1 damage, now dead
[Turn 29.6] [Damage event] PLANE_ATTACK: plane 54 damaged by 112 for 1 damage, now dead
[Turn 29.6] [Damage event] PLANE_ATTACK: plane 64 damaged by 112 for 1 damage, now dead
[Turn 29.6] [Damage event] PLANE_ATTACK: plane 84 damaged by 112 for 1 damage, now dead
[Turn 29.8] [Damage event] PLANE_ATTACK: plane 72 damaged by 112 for 1 damage, now dead
[Turn 36.93333333333333] [Damage event] PLANE_ATTACK: plane 3 damaged by 112 for 1 damage, now dead
[Turn 37.333333333333336] [Damage event] PLANE_ATTACK: plane 34 damaged by 112 for 1 damage, now dead
[Turn 37.93333333333333] [Damage event] PLANE_ATTACK: plane 44 damaged by 112 for 1 damage, now dead
[Turn 38.13333333333333] [Damage event] PLANE_ATTACK: plane 13 damaged by 112 for 1 damage, now dead
[Turn 38.266666666666666] [Damage event] PLANE_ATTACK: plane 43 damaged by 112 for 1 damage, now dead
[Turn 38.666666666666664] [Damage event] PLANE_ATTACK: plane 2 damaged by 112 for 1 damage, now dead
[Turn 38.666666666666664] [Damage event] PLANE_ATTACK: plane 33 damaged by 112 for 1 damage, now dead
[Turn 38.8] [Damage event] PLANE_ATTACK: plane 10 damaged by 112 for 1 damage, now dead
[Turn 38.8] [Damage event] PLANE_ATTACK: plane 11 damaged by 112 for 1 damage, now dead
[Turn 38.86666666666667] [Damage event] PLANE_ATTACK: plane 12 damaged by 112 for 1 damage, now dead
