---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 0 on 9001
Connected to team 1 on 9002
Game started!
[Turn 45.46666666666667] [Damage event] PLANE_ATTACK: plane 52 damaged by 1 for 1 damage, now dead
[Turn 45.6] [Damage event] PLANE_ATTACK: plane 61 damaged by 0 for 1 damage, now dead
[Turn 47.266666666666666] [Damage event] PLANE_ATTACK: plane 105 damaged by 0 for 1 damage, now dead
[Turn 47.4] [Damage event] PLANE_ATTACK: plane 76 damaged by 0 for 1 damage, now dead
[Turn 48.46666666666667] [Damage event] PLANE_ATTACK: plane 21 damaged by 1 for 1 damage, now dead
[Turn 49] [Damage event] PLANE_ATTACK: plane 78 damaged by 0 for 1 damage, now dead
[Turn 50.4] [Damage event] PLANE_ATTACK: plane 98 damaged by 11 for 1 damage, now dead
[Turn 50.4] [Damage event] PLANE_ATTACK: plane 98 damaged by 12 for 1 damage, now dead
[Turn 50.46666666666667] [Damage event] PLANE_ATTACK: plane 89 damaged by 11 for 1 damage, now dead
[Turn 50.46666666666667] [Damage event] PLANE_ATTACK: plane 89 damaged by 12 for 1 damage, now dead
[Turn 51] [Damage event] PLANE_ATTACK: plane 85 damaged by 11 for 1 damage, now dead
[Turn 51.333333333333336] [Damage event] PLANE_ATTACK: plane 67 damaged by 0 for 1 damage, now dead
[Turn 51.6] [Damage event] PLANE_ATTACK: plane 77 damaged by 11 for 1 damage, now dead
[Turn 51.6] [Damage event] PLANE_ATTACK: plane 77 damaged by 12 for 1 damage, now dead
[Turn 52.13333333333333] [Damage event] PLANE_ATTACK: plane 73 damaged by 11 for 1 damage, now dead
[Turn 52.13333333333333] [Damage event] PLANE_ATTACK: plane 73 damaged by 12 for 1 damage, now dead
[Turn 52.4] [Damage event] PLANE_ATTACK: plane 33 damaged by 12 for 1 damage, now dead
[Turn 52.733333333333334] [Damage event] PLANE_ATTACK: plane 84 damaged by 11 for 1 damage, now dead
[Turn 52.86666666666667] [Damage event] PLANE_ATTACK: plane 112 damaged by 11 for 1 damage, now dead
[Turn 52.86666666666667] [Damage event] PLANE_ATTACK: plane 112 damaged by 12 for 1 damage, now dead
[Turn 52.93333333333333] [Damage event] PLANE_ATTACK: plane 15 damaged by 0 for 1 damage, now dead
[Turn 54.2] [Damage event] PLANE_ATTACK: plane 68 damaged by 0 for 1 damage, now dead
[Turn 54.53333333333333] [Damage event] PLANE_ATTACK: plane 72 damaged by 11 for 1 damage, now dead
[Turn 54.6] [Damage event] PLANE_ATTACK: plane 94 damaged by 0 for 1 damage, now dead
[Turn 55.53333333333333] [Damage event] PLANE_ATTACK: plane 97 damaged by 12 for 1 damage, now dead
[Turn 57.46666666666667] [Damage event] COLLISION: plane 69 damaged by 1 for 1 damage, now dead
[Turn 57.46666666666667] [Damage event] COLLISION: plane 1 damaged by 69 for 5 damage, now dead
[Turn 60.733333333333334] [Damage event] PLANE_ATTACK: plane 71 damaged by 13 for 1 damage, now dead
[Turn 61.8] [Damage event] PLANE_ATTACK: plane 103 damaged by 13 for 1 damage, now dead
[Turn 62.13333333333333] [Damage event] PLANE_ATTACK: plane 109 damaged by 11 for 1 damage, now dead
[Turn 62.86666666666667] [Damage event] PLANE_ATTACK: plane 113 damaged by 13 for 1 damage, now dead
[Turn 64.73333333333333] [Damage event] PLANE_ATTACK: plane 87 damaged by 13 for 1 damage, now dead
[Turn 71.13333333333334] [Damage event] PLANE_ATTACK: plane 81 damaged by 13 for 1 damage, now dead
[Turn 72.26666666666667] [Damage event] COLLISION: plane 60 damaged by 0 for 1 damage, now dead
[Turn 72.26666666666667] [Damage event] COLLISION: plane 0 damaged by 60 for 5 damage, now dead
[Turn 73.73333333333333] [Damage event] PLANE_ATTACK: plane 110 damaged by 12 for 1 damage, now dead
