---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 50.333333333333336] [Damage event] PLANE_ATTACK: plane 94 damaged by 4 for 1 damage, now dead
[Turn 53.6] [Damage event] PLANE_ATTACK: plane 103 damaged by 3 for 1 damage, now dead
[Turn 54] [Damage event] PLANE_ATTACK: plane 70 damaged by 4 for 1 damage, now dead
[Turn 54.13333333333333] [Damage event] PLANE_ATTACK: plane 92 damaged by 4 for 1 damage, now dead
[Turn 54.266666666666666] [Damage event] PLANE_ATTACK: plane 82 damaged by 3 for 1 damage, now dead
[Turn 55.53333333333333] [Damage event] PLANE_ATTACK: plane 99 damaged by 4 for 1 damage, now dead
[Turn 57.333333333333336] [Damage event] PLANE_ATTACK: plane 69 damaged by 4 for 1 damage, now dead
[Turn 57.733333333333334] [Damage event] PLANE_ATTACK: plane 104 damaged by 3 for 1 damage, now dead
[Turn 60.2] [Damage event] PLANE_ATTACK: plane 91 damaged by 4 for 1 damage, now dead
[Turn 61.8] [Damage event] PLANE_ATTACK: plane 80 damaged by 3 for 1 damage, now dead
[Turn 67.2] [Damage event] PLANE_ATTACK: plane 59 damaged by 4 for 1 damage, now dead
[Turn 70.13333333333334] [Damage event] PLANE_ATTACK: plane 38 damaged by 4 for 1 damage, now dead
[Turn 70.6] [Damage event] PLANE_ATTACK: plane 49 damaged by 4 for 1 damage, now dead
[Turn 72.4] [Damage event] PLANE_ATTACK: plane 22 damaged by 4 for 1 damage, now dead
[Turn 73.93333333333334] [Damage event] PLANE_ATTACK: plane 85 damaged by 4 for 1 damage, now dead
[Turn 74.06666666666666] [Damage event] PLANE_ATTACK: plane 66 damaged by 4 for 1 damage, now dead
[Turn 74.46666666666667] [Damage event] PLANE_ATTACK: plane 21 damaged by 4 for 1 damage, now dead
[Turn 76.46666666666667] [Damage event] PLANE_ATTACK: plane 45 damaged by 3 for 1 damage, now dead
[Turn 77.66666666666667] [Damage event] PLANE_ATTACK: plane 25 damaged by 4 for 1 damage, now dead
[Turn 78.06666666666666] [Damage event] PLANE_ATTACK: plane 93 damaged by 2 for 1 damage, now dead
[Turn 79.73333333333333] [Damage event] PLANE_ATTACK: plane 27 damaged by 4 for 1 damage, now dead
[Turn 81.06666666666666] [Damage event] PLANE_ATTACK: plane 90 damaged by 2 for 1 damage, now dead
[Turn 87.66666666666667] [Damage event] PLANE_ATTACK: plane 61 damaged by 2 for 1 damage, now dead
[Turn 88] [Damage event] PLANE_ATTACK: plane 36 damaged by 4 for 1 damage, now dead
[Turn 91.06666666666666] [Damage event] PLANE_ATTACK: plane 5 damaged by 4 for 1 damage, now dead
[Turn 93.8] [Damage event] PLANE_ATTACK: plane 48 damaged by 2 for 1 damage, now dead
[Turn 96.2] [Damage event] PLANE_ATTACK: plane 26 damaged by 3 for 1 damage, now dead
[Turn 100.73333333333333] [Damage event] PLANE_ATTACK: plane 50 damaged by 2 for 1 damage, now dead
