---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 18.4] [Damage event] PLANE_ATTACK: plane 17 damaged by 2 for 1 damage, still alive
[Turn 18.4] [Damage event] PLANE_ATTACK: plane 2 damaged by 17 for 1 damage, still alive
[Turn 18.533333333333335] [Damage event] PLANE_ATTACK: plane 2 damaged by 18 for 1 damage, still alive
[Turn 19] [Damage event] PLANE_ATTACK: plane 2 damaged by 17 for 1 damage, still alive
[Turn 24.533333333333335] [Damage event] PLANE_ATTACK: plane 5 damaged by 17 for 1 damage, still alive
[Turn 24.733333333333334] [Damage event] PLANE_ATTACK: plane 4 damaged by 17 for 1 damage, still alive
[Turn 25] [Damage event] PLANE_ATTACK: plane 17 damaged by 4 for 1 damage, still alive
[Turn 25] [Damage event] PLANE_ATTACK: plane 4 damaged by 17 for 1 damage, still alive
[Turn 25.733333333333334] [Damage event] COLLISION: plane 17 damaged by 4 for 8 damage, now dead
[Turn 25.733333333333334] [Damage event] COLLISION: plane 4 damaged by 17 for 3 damage, now dead
[Turn 36.93333333333333] [Damage event] PLANE_ATTACK: plane 19 damaged by 0 for 1 damage, still alive
[Turn 37] [Damage event] PLANE_ATTACK: plane 19 damaged by 0 for 1 damage, still alive
[Turn 37.46666666666667] [Damage event] PLANE_ATTACK: plane 16 damaged by 3 for 1 damage, now dead
[Turn 37.8] [Damage event] PLANE_ATTACK: plane 1 damaged by 19 for 1 damage, still alive
[Turn 38] [Damage event] PLANE_ATTACK: plane 1 damaged by 19 for 1 damage, still alive
[Turn 38.333333333333336] [Damage event] PLANE_ATTACK: plane 15 damaged by 3 for 1 damage, now dead
[Turn 38.8] [Damage event] PLANE_ATTACK: plane 19 damaged by 1 for 1 damage, still alive
[Turn 39] [Damage event] PLANE_ATTACK: plane 19 damaged by 1 for 1 damage, still alive
[Turn 39] [Damage event] PLANE_ATTACK: plane 1 damaged by 19 for 1 damage, still alive
[Turn 39.666666666666664] [Damage event] PLANE_ATTACK: plane 14 damaged by 3 for 1 damage, now dead
[Turn 40] [Damage event] PLANE_ATTACK: plane 19 damaged by 1 for 1 damage, still alive
[Turn 40] [Damage event] PLANE_ATTACK: plane 1 damaged by 19 for 1 damage, still alive
[Turn 40.13333333333333] [Damage event] COLLISION: plane 19 damaged by 1 for 25 damage, now dead
[Turn 40.13333333333333] [Damage event] COLLISION: plane 1 damaged by 19 for 16 damage, now dead
[Turn 40.333333333333336] [Damage event] PLANE_ATTACK: plane 13 damaged by 3 for 1 damage, now dead
[Turn 41.733333333333334] [Damage event] PLANE_ATTACK: plane 12 damaged by 3 for 1 damage, now dead
[Turn 42.733333333333334] [Damage event] PLANE_ATTACK: plane 11 damaged by 3 for 1 damage, now dead
[Turn 44.333333333333336] [Damage event] PLANE_ATTACK: plane 10 damaged by 3 for 1 damage, now dead
[Turn 45.06666666666667] [Damage event] PLANE_ATTACK: plane 9 damaged by 3 for 1 damage, now dead
[Turn 46.266666666666666] [Damage event] PLANE_ATTACK: plane 8 damaged by 3 for 1 damage, now dead
[Turn 49.93333333333333] [Damage event] PLANE_ATTACK: plane 0 damaged by 6 for 1 damage, still alive
[Turn 50] [Damage event] PLANE_ATTACK: plane 0 damaged by 6 for 1 damage, still alive
[Turn 50.53333333333333] [Damage event] PLANE_ATTACK: plane 0 damaged by 7 for 1 damage, still alive
[Turn 51] [Damage event] PLANE_ATTACK: plane 0 damaged by 7 for 1 damage, still alive
[Turn 60.266666666666666] [Damage event] PLANE_ATTACK: plane 7 damaged by 2 for 1 damage, still alive
[Turn 61] [Damage event] PLANE_ATTACK: plane 7 damaged by 2 for 1 damage, still alive
