---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 29.333333333333332] [Damage event] PLANE_ATTACK: plane 81 damaged by 104 for 1 damage, now dead
[Turn 29.333333333333332] [Damage event] PLANE_ATTACK: plane 81 damaged by 105 for 1 damage, now dead
[Turn 29.4] [Damage event] PLANE_ATTACK: plane 61 damaged by 104 for 1 damage, now dead
[Turn 29.4] [Damage event] PLANE_ATTACK: plane 71 damaged by 104 for 1 damage, now dead
[Turn 29.4] [Damage event] PLANE_ATTACK: plane 61 damaged by 105 for 1 damage, now dead
[Turn 29.4] [Damage event] PLANE_ATTACK: plane 71 damaged by 105 for 1 damage, now dead
[Turn 29.4] [Damage event] PLANE_ATTACK: plane 72 damaged by 105 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 51 damaged by 104 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 62 damaged by 104 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 80 damaged by 104 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 90 damaged by 104 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 91 damaged by 104 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 62 damaged by 105 for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 91 damaged by 105 for 1 damage, now dead
[Turn 29.533333333333335] [Damage event] PLANE_ATTACK: plane 52 damaged by 104 for 1 damage, now dead
[Turn 29.533333333333335] [Damage event] PLANE_ATTACK: plane 70 damaged by 104 for 1 damage, now dead
[Turn 29.533333333333335] [Damage event] PLANE_ATTACK: plane 52 damaged by 105 for 1 damage, now dead
[Turn 35.46666666666667] [Damage event] PLANE_ATTACK: plane 92 damaged by 106 for 1 damage, now dead
[Turn 35.733333333333334] [Damage event] PLANE_ATTACK: plane 53 damaged by 106 for 1 damage, now dead
[Turn 37.333333333333336] [Damage event] PLANE_ATTACK: plane 30 damaged by 104 for 1 damage, now dead
[Turn 38.6] [Damage event] PLANE_ATTACK: plane 82 damaged by 106 for 1 damage, now dead
[Turn 38.733333333333334] [Damage event] PLANE_ATTACK: plane 74 damaged by 106 for 1 damage, now dead
