---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 0 on 9001
Connected to team 1 on 9002
Game started!
[Turn 51.266666666666666] [Damage event] PLANE_ATTACK: plane 0 damaged by 100 for 1 damage, now dead
[Turn 51.666666666666664] [Damage event] PLANE_ATTACK: plane 21 damaged by 100 for 1 damage, now dead
[Turn 51.93333333333333] [Damage event] PLANE_ATTACK: plane 20 damaged by 100 for 1 damage, now dead
[Turn 52.06666666666667] [Damage event] PLANE_ATTACK: plane 41 damaged by 100 for 1 damage, now dead
[Turn 53] [Damage event] PLANE_ATTACK: plane 40 damaged by 100 for 1 damage, now dead
[Turn 53.333333333333336] [Damage event] PLANE_ATTACK: plane 11 damaged by 100 for 1 damage, now dead
[Turn 53.46666666666667] [Damage event] PLANE_ATTACK: plane 32 damaged by 100 for 1 damage, now dead
[Turn 54.13333333333333] [Damage event] PLANE_ATTACK: plane 31 damaged by 100 for 1 damage, now dead
[Turn 55] [Damage event] PLANE_ATTACK: plane 2 damaged by 100 for 1 damage, now dead
[Turn 55.06666666666667] [Damage event] PLANE_ATTACK: plane 10 damaged by 100 for 1 damage, now dead
[Turn 55.8] [Damage event] PLANE_ATTACK: plane 22 damaged by 100 for 1 damage, now dead
[Turn 55.8] [Damage event] PLANE_ATTACK: plane 30 damaged by 100 for 1 damage, now dead
[Turn 56] [Damage event] PLANE_ATTACK: plane 1 damaged by 100 for 1 damage, now dead
[Turn 57.53333333333333] [Damage event] PLANE_ATTACK: plane 43 damaged by 101 for 1 damage, now dead
[Turn 59] [Damage event] BORDER: plane 100 damaged for 10 damage, now dead
[Turn 63.86666666666667] [Damage event] BORDER: plane 101 damaged for 10 damage, now dead
[Turn 64.86666666666666] [Damage event] PLANE_ATTACK: plane 42 damaged by 102 for 1 damage, now dead
[Turn 65.93333333333334] [Damage event] PLANE_ATTACK: plane 13 damaged by 102 for 1 damage, now dead
[Turn 66.53333333333333] [Damage event] PLANE_ATTACK: plane 34 damaged by 102 for 1 damage, now dead
[Turn 67] [Damage event] PLANE_ATTACK: plane 33 damaged by 102 for 1 damage, now dead
[Turn 68.13333333333334] [Damage event] PLANE_ATTACK: plane 4 damaged by 102 for 1 damage, now dead
[Turn 68.46666666666667] [Damage event] PLANE_ATTACK: plane 12 damaged by 102 for 1 damage, now dead
