---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 34.2] [Damage event] PLANE_ATTACK: plane 84 damaged by 3 for 1 damage, now dead
[Turn 34.266666666666666] [Damage event] PLANE_ATTACK: plane 104 damaged by 3 for 1 damage, now dead
[Turn 34.46666666666667] [Damage event] PLANE_ATTACK: plane 74 damaged by 3 for 1 damage, now dead
[Turn 34.53333333333333] [Damage event] PLANE_ATTACK: plane 37 damaged by 2 for 1 damage, now dead
[Turn 35] [Damage event] PLANE_ATTACK: plane 91 damaged by 3 for 1 damage, now dead
[Turn 35.266666666666666] [Damage event] PLANE_ATTACK: plane 38 damaged by 2 for 1 damage, now dead
[Turn 36.2] [Damage event] PLANE_ATTACK: plane 99 damaged by 3 for 1 damage, now dead
[Turn 36.733333333333334] [Damage event] PLANE_ATTACK: plane 11 damaged by 2 for 1 damage, now dead
[Turn 36.8] [Damage event] PLANE_ATTACK: plane 89 damaged by 3 for 1 damage, now dead
[Turn 37.266666666666666] [Damage event] PLANE_ATTACK: plane 79 damaged by 3 for 1 damage, now dead
[Turn 41.733333333333334] [Damage event] PLANE_ATTACK: plane 86 damaged by 2 for 1 damage, now dead
[Turn 42.13333333333333] [Damage event] PLANE_ATTACK: plane 68 damaged by 3 for 1 damage, now dead
[Turn 42.666666666666664] [Damage event] PLANE_ATTACK: plane 83 damaged by 3 for 1 damage, now dead
[Turn 42.8] [Damage event] PLANE_ATTACK: plane 62 damaged by 4 for 1 damage, now dead
[Turn 43.2] [Damage event] PLANE_ATTACK: plane 52 damaged by 3 for 1 damage, now dead
[Turn 43.333333333333336] [Damage event] PLANE_ATTACK: plane 80 damaged by 4 for 1 damage, now dead
[Turn 43.6] [Damage event] PLANE_ATTACK: plane 26 damaged by 1 for 1 damage, now dead
[Turn 44.8] [Damage event] PLANE_ATTACK: plane 87 damaged by 4 for 1 damage, now dead
[Turn 45] [Damage event] PLANE_ATTACK: plane 57 damaged by 4 for 1 damage, now dead
[Turn 45.46666666666667] [Damage event] PLANE_ATTACK: plane 31 damaged by 1 for 1 damage, now dead
[Turn 45.46666666666667] [Damage event] PLANE_ATTACK: plane 42 damaged by 1 for 1 damage, now dead
[Turn 45.6] [Damage event] PLANE_ATTACK: plane 29 damaged by 3 for 1 damage, now dead
[Turn 45.8] [Damage event] PLANE_ATTACK: plane 45 damaged by 0 for 1 damage, now dead
[Turn 46.06666666666667] [Damage event] PLANE_ATTACK: plane 43 damaged by 1 for 1 damage, now dead
[Turn 46.4] [Damage event] PLANE_ATTACK: plane 20 damaged by 1 for 1 damage, now dead
[Turn 46.8] [Damage event] PLANE_ATTACK: plane 65 damaged by 1 for 1 damage, now dead
[Turn 46.86666666666667] [Damage event] PLANE_ATTACK: plane 35 damaged by 0 for 1 damage, now dead
[Turn 46.93333333333333] [Damage event] PLANE_ATTACK: plane 46 damaged by 0 for 1 damage, now dead
[Turn 48.266666666666666] [Damage event] PLANE_ATTACK: plane 63 damaged by 2 for 1 damage, now dead
[Turn 48.333333333333336] [Damage event] PLANE_ATTACK: plane 49 damaged by 2 for 1 damage, now dead
[Turn 48.53333333333333] [Damage event] PLANE_ATTACK: plane 81 damaged by 2 for 1 damage, now dead
[Turn 49] [Damage event] PLANE_ATTACK: plane 67 damaged by 1 for 1 damage, now dead
[Turn 49.46666666666667] [Damage event] PLANE_ATTACK: plane 32 damaged by 2 for 1 damage, now dead
[Turn 49.8] [Damage event] PLANE_ATTACK: plane 93 damaged by 2 for 1 damage, now dead
[Turn 50] [Damage event] PLANE_ATTACK: plane 22 damaged by 2 for 1 damage, now dead
[Turn 50.06666666666667] [Damage event] PLANE_ATTACK: plane 8 damaged by 3 for 1 damage, now dead
[Turn 50.4] [Damage event] PLANE_ATTACK: plane 58 damaged by 3 for 1 damage, now dead
[Turn 51.13333333333333] [Damage event] PLANE_ATTACK: plane 69 damaged by 4 for 1 damage, now dead
[Turn 51.4] [Damage event] PLANE_ATTACK: plane 6 damaged by 1 for 1 damage, now dead
[Turn 52.06666666666667] [Damage event] PLANE_ATTACK: plane 59 damaged by 1 for 1 damage, now dead
[Turn 52.13333333333333] [Damage event] PLANE_ATTACK: plane 78 damaged by 2 for 1 damage, now dead
[Turn 52.8] [Damage event] PLANE_ATTACK: plane 28 damaged by 1 for 1 damage, now dead
[Turn 52.86666666666667] [Damage event] PLANE_ATTACK: plane 60 damaged by 1 for 1 damage, now dead
[Turn 53.86666666666667] [Damage event] PLANE_ATTACK: plane 47 damaged by 0 for 1 damage, now dead
[Turn 54.46666666666667] [Damage event] PLANE_ATTACK: plane 16 damaged by 0 for 1 damage, now dead
[Turn 54.733333333333334] [Damage event] PLANE_ATTACK: plane 40 damaged by 1 for 1 damage, now dead
[Turn 54.8] [Damage event] PLANE_ATTACK: plane 18 damaged by 1 for 1 damage, now dead
[Turn 54.86666666666667] [Damage event] PLANE_ATTACK: plane 70 damaged by 1 for 1 damage, now dead
[Turn 54.93333333333333] [Damage event] PLANE_ATTACK: plane 90 damaged by 1 for 1 damage, now dead
[Turn 55.13333333333333] [Damage event] PLANE_ATTACK: plane 7 damaged by 3 for 1 damage, now dead
[Turn 55.8] [Damage event] PLANE_ATTACK: plane 103 damaged by 1 for 1 damage, now dead
[Turn 56] [Damage event] PLANE_ATTACK: plane 53 damaged by 1 for 1 damage, now dead
[Turn 57.733333333333334] [Damage event] PLANE_ATTACK: plane 82 damaged by 1 for 1 damage, now dead
[Turn 57.8] [Damage event] PLANE_ATTACK: plane 75 damaged by 0 for 1 damage, now dead
[Turn 58.53333333333333] [Damage event] PLANE_ATTACK: plane 39 damaged by 3 for 1 damage, now dead
[Turn 59.4] [Damage event] PLANE_ATTACK: plane 24 damaged by 0 for 1 damage, now dead
[Turn 60.13333333333333] [Damage event] PLANE_ATTACK: plane 14 damaged by 1 for 1 damage, now dead
[Turn 62.333333333333336] [Damage event] PLANE_ATTACK: plane 101 damaged by 1 for 1 damage, now dead
[Turn 62.666666666666664] [Damage event] PLANE_ATTACK: plane 36 damaged by 3 for 1 damage, now dead
[Turn 65] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, now dead
