---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 34.46666666666667] [Damage event] PLANE_ATTACK: plane 68 damaged by 5 for 1 damage, now dead
[Turn 34.733333333333334] [Damage event] PLANE_ATTACK: plane 67 damaged by 4 for 1 damage, now dead
[Turn 34.733333333333334] [Damage event] PLANE_ATTACK: plane 97 damaged by 4 for 1 damage, now dead
[Turn 34.733333333333334] [Damage event] PLANE_ATTACK: plane 69 damaged by 5 for 1 damage, now dead
[Turn 34.733333333333334] [Damage event] PLANE_ATTACK: plane 88 damaged by 5 for 1 damage, now dead
[Turn 34.86666666666667] [Damage event] PLANE_ATTACK: plane 26 damaged by 4 for 1 damage, now dead
[Turn 35.06666666666667] [Damage event] PLANE_ATTACK: plane 77 damaged by 4 for 1 damage, now dead
[Turn 35.06666666666667] [Damage event] PLANE_ATTACK: plane 98 damaged by 5 for 1 damage, now dead
[Turn 35.13333333333333] [Damage event] PLANE_ATTACK: plane 56 damaged by 4 for 1 damage, now dead
[Turn 35.2] [Damage event] PLANE_ATTACK: plane 87 damaged by 4 for 1 damage, now dead
[Turn 35.266666666666666] [Damage event] PLANE_ATTACK: plane 57 damaged by 4 for 1 damage, now dead
[Turn 35.266666666666666] [Damage event] PLANE_ATTACK: plane 78 damaged by 5 for 1 damage, now dead
[Turn 35.333333333333336] [Damage event] PLANE_ATTACK: plane 58 damaged by 5 for 1 damage, now dead
[Turn 35.333333333333336] [Damage event] PLANE_ATTACK: plane 99 damaged by 5 for 1 damage, now dead
[Turn 35.4] [Damage event] PLANE_ATTACK: plane 36 damaged by 4 for 1 damage, now dead
[Turn 35.6] [Damage event] PLANE_ATTACK: plane 79 damaged by 5 for 1 damage, now dead
[Turn 35.93333333333333] [Damage event] PLANE_ATTACK: plane 59 damaged by 5 for 1 damage, now dead
[Turn 39.2] [Damage event] BORDER: plane 4 damaged for 10 damage, now dead
[Turn 40.6] [Damage event] BORDER: plane 5 damaged for 10 damage, now dead
[Turn 43.06666666666667] [Damage event] PLANE_ATTACK: plane 80 damaged by 6 for 1 damage, now dead
[Turn 43.266666666666666] [Damage event] PLANE_ATTACK: plane 100 damaged by 6 for 1 damage, now dead
[Turn 43.46666666666667] [Damage event] PLANE_ATTACK: plane 60 damaged by 6 for 1 damage, now dead
[Turn 43.733333333333334] [Damage event] PLANE_ATTACK: plane 81 damaged by 6 for 1 damage, now dead
[Turn 43.93333333333333] [Damage event] PLANE_ATTACK: plane 70 damaged by 6 for 1 damage, now dead
[Turn 44.266666666666666] [Damage event] PLANE_ATTACK: plane 61 damaged by 6 for 1 damage, now dead
[Turn 44.266666666666666] [Damage event] PLANE_ATTACK: plane 90 damaged by 6 for 1 damage, now dead
[Turn 44.666666666666664] [Damage event] PLANE_ATTACK: plane 71 damaged by 6 for 1 damage, now dead
[Turn 45.6] [Damage event] PLANE_ATTACK: plane 91 damaged by 6 for 1 damage, now dead
[Turn 45.86666666666667] [Damage event] PLANE_ATTACK: plane 62 damaged by 6 for 1 damage, now dead
[Turn 49.4] [Damage event] PLANE_ATTACK: plane 84 damaged by 6 for 1 damage, now dead
[Turn 49.4] [Damage event] PLANE_ATTACK: plane 94 damaged by 6 for 1 damage, now dead
[Turn 49.666666666666664] [Damage event] PLANE_ATTACK: plane 65 damaged by 6 for 1 damage, now dead
[Turn 49.733333333333334] [Damage event] PLANE_ATTACK: plane 74 damaged by 6 for 1 damage, now dead
[Turn 49.733333333333334] [Damage event] PLANE_ATTACK: plane 105 damaged by 6 for 1 damage, now dead
