---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 57.13333333333333] [Damage event] PLANE_ATTACK: plane 49 damaged by 103 for 1 damage, now dead
[Turn 57.13333333333333] [Damage event] PLANE_ATTACK: plane 63 damaged by 108 for 1 damage, now dead
[Turn 57.333333333333336] [Damage event] PLANE_ATTACK: plane 35 damaged by 101 for 1 damage, now dead
[Turn 58.2] [Damage event] PLANE_ATTACK: plane 91 damaged by 106 for 1 damage, now dead
[Turn 58.6] [Damage event] PLANE_ATTACK: plane 83 damaged by 108 for 1 damage, now dead
[Turn 59.4] [Damage event] PLANE_ATTACK: plane 70 damaged by 105 for 1 damage, now dead
[Turn 60.13333333333333] [Damage event] PLANE_ATTACK: plane 19 damaged by 103 for 1 damage, now dead
[Turn 60.333333333333336] [Damage event] COLLISION: plane 103 damaged by 90 for 5 damage, now dead
[Turn 60.333333333333336] [Damage event] COLLISION: plane 90 damaged by 103 for 1 damage, now dead
[Turn 60.46666666666667] [Damage event] PLANE_ATTACK: plane 5 damaged by 101 for 1 damage, now dead
[Turn 61.266666666666666] [Damage event] PLANE_ATTACK: plane 61 damaged by 106 for 1 damage, now dead
[Turn 61.8] [Damage event] PLANE_ATTACK: plane 53 damaged by 108 for 1 damage, now dead
[Turn 62.06666666666667] [Damage event] PLANE_ATTACK: plane 25 damaged by 101 for 1 damage, now dead
[Turn 62.4] [Damage event] COLLISION: plane 101 damaged by 26 for 5 damage, now dead
[Turn 62.4] [Damage event] COLLISION: plane 26 damaged by 101 for 1 damage, now dead
[Turn 62.93333333333333] [Damage event] PLANE_ATTACK: plane 81 damaged by 106 for 1 damage, now dead
[Turn 63.53333333333333] [Damage event] PLANE_ATTACK: plane 73 damaged by 108 for 1 damage, now dead
[Turn 64.73333333333333] [Damage event] PLANE_ATTACK: plane 60 damaged by 107 for 1 damage, now dead
[Turn 65.2] [Damage event] PLANE_ATTACK: plane 93 damaged by 108 for 1 damage, now dead
[Turn 66.33333333333333] [Damage event] PLANE_ATTACK: plane 51 damaged by 106 for 1 damage, now dead
[Turn 66.46666666666667] [Damage event] PLANE_ATTACK: plane 80 damaged by 107 for 1 damage, now dead
[Turn 68.2] [Damage event] PLANE_ATTACK: plane 71 damaged by 106 for 1 damage, now dead
[Turn 69.2] [Damage event] PLANE_ATTACK: plane 65 damaged by 108 for 1 damage, now dead
[Turn 70.73333333333333] [Damage event] PLANE_ATTACK: plane 87 damaged by 108 for 1 damage, now dead
[Turn 71.2] [Damage event] PLANE_ATTACK: plane 58 damaged by 108 for 1 damage, now dead
[Turn 71.2] [Damage event] PLANE_ATTACK: plane 59 damaged by 108 for 1 damage, now dead
[Turn 71.33333333333333] [Damage event] PLANE_ATTACK: plane 29 damaged by 107 for 1 damage, now dead
[Turn 71.46666666666667] [Damage event] PLANE_ATTACK: plane 86 damaged by 108 for 1 damage, now dead
