---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 48.4] [Damage event] PLANE_ATTACK: plane 14 damaged by 12 for 1 damage, still alive
[Turn 49] [Damage event] PLANE_ATTACK: plane 14 damaged by 12 for 1 damage, still alive
[Turn 52.2] [Damage event] PLANE_ATTACK: plane 16 damaged by 13 for 1 damage, still alive
[Turn 52.733333333333334] [Damage event] PLANE_ATTACK: plane 15 damaged by 13 for 1 damage, still alive
[Turn 53] [Damage event] PLANE_ATTACK: plane 15 damaged by 13 for 1 damage, still alive
[Turn 53] [Damage event] PLANE_ATTACK: plane 16 damaged by 13 for 1 damage, still alive
[Turn 53.8] [Damage event] PLANE_ATTACK: plane 12 damaged by 14 for 1 damage, still alive
[Turn 54] [Damage event] PLANE_ATTACK: plane 16 damaged by 13 for 1 damage, still alive
[Turn 54] [Damage event] PLANE_ATTACK: plane 12 damaged by 14 for 1 damage, still alive
[Turn 54.86666666666667] [Damage event] PLANE_ATTACK: plane 12 damaged by 15 for 1 damage, still alive
[Turn 55] [Damage event] COLLISION: plane 16 damaged by 13 for 27 damage, now dead
[Turn 55] [Damage event] PLANE_ATTACK: plane 12 damaged by 14 for 1 damage, still alive
[Turn 55] [Damage event] PLANE_ATTACK: plane 12 damaged by 15 for 1 damage, still alive
[Turn 55] [Damage event] COLLISION: plane 13 damaged by 16 for 10 damage, now dead
[Turn 56] [Damage event] PLANE_ATTACK: plane 12 damaged by 14 for 1 damage, still alive
[Turn 56] [Damage event] PLANE_ATTACK: plane 12 damaged by 15 for 1 damage, still alive
[Turn 56.266666666666666] [Damage event] PLANE_ATTACK: plane 0 damaged by 14 for 1 damage, now dead
[Turn 56.4] [Damage event] PLANE_ATTACK: plane 1 damaged by 15 for 1 damage, now dead
[Turn 56.666666666666664] [Damage event] PLANE_ATTACK: plane 4 damaged by 15 for 1 damage, now dead
[Turn 56.8] [Damage event] PLANE_ATTACK: plane 3 damaged by 14 for 1 damage, now dead
[Turn 57] [Damage event] PLANE_ATTACK: plane 12 damaged by 15 for 1 damage, still alive
[Turn 57.6] [Damage event] PLANE_ATTACK: plane 2 damaged by 14 for 1 damage, now dead
[Turn 71.26666666666667] [Damage event] PLANE_ATTACK: plane 22 damaged by 12 for 1 damage, now dead
[Turn 71.26666666666667] [Damage event] PLANE_ATTACK: plane 23 damaged by 12 for 1 damage, now dead
[Turn 96.53333333333333] [Damage event] PLANE_ATTACK: plane 26 damaged by 12 for 1 damage, now dead
[Turn 97] [Damage event] PLANE_ATTACK: plane 25 damaged by 12 for 1 damage, now dead
[Turn 103.26666666666667] [Damage event] PLANE_ATTACK: plane 21 damaged by 12 for 1 damage, now dead
[Turn 104.33333333333333] [Damage event] PLANE_ATTACK: plane 20 damaged by 12 for 1 damage, now dead
[Turn 105.6] [Damage event] PLANE_ATTACK: plane 19 damaged by 12 for 1 damage, now dead
[Turn 107] [Damage event] PLANE_ATTACK: plane 18 damaged by 12 for 1 damage, now dead
[Turn 108.26666666666667] [Damage event] PLANE_ATTACK: plane 17 damaged by 12 for 1 damage, now dead
[Turn 126.13333333333334] [Damage event] PLANE_ATTACK: plane 24 damaged by 12 for 1 damage, now dead
[Turn 332.8] [Damage event] PLANE_ATTACK: plane 15 damaged by 11 for 1 damage, still alive
[Turn 333] [Damage event] PLANE_ATTACK: plane 15 damaged by 11 for 1 damage, still alive
[Turn 334] [Damage event] PLANE_ATTACK: plane 14 damaged by 11 for 1 damage, still alive
[Turn 334] [Damage event] PLANE_ATTACK: plane 15 damaged by 11 for 1 damage, still alive
[Turn 334] [Damage event] PLANE_ATTACK: plane 11 damaged by 14 for 1 damage, still alive
[Turn 335] [Damage event] PLANE_ATTACK: plane 14 damaged by 11 for 1 damage, still alive
[Turn 335] [Damage event] PLANE_ATTACK: plane 15 damaged by 11 for 1 damage, still alive
[Turn 335] [Damage event] PLANE_ATTACK: plane 11 damaged by 14 for 1 damage, still alive
[Turn 336] [Damage event] PLANE_ATTACK: plane 15 damaged by 11 for 1 damage, still alive
[Turn 336] [Damage event] PLANE_ATTACK: plane 11 damaged by 14 for 1 damage, still alive
[Turn 337] [Damage event] PLANE_ATTACK: plane 15 damaged by 11 for 1 damage, still alive
[Turn 337] [Damage event] PLANE_ATTACK: plane 11 damaged by 14 for 1 damage, still alive
[Turn 338] [Damage event] PLANE_ATTACK: plane 11 damaged by 14 for 1 damage, still alive
[Turn 338.06666666666666] [Damage event] COLLISION: plane 14 damaged by 11 for 26 damage, now dead
[Turn 338.06666666666666] [Damage event] COLLISION: plane 11 damaged by 14 for 25 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

