---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 165] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 166] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 166.13333333333333] [Damage event] PLANE_ATTACK: plane 8 damaged by 3 for 1 damage, still alive
[Turn 166.13333333333333] [Damage event] PLANE_ATTACK: plane 8 damaged by 4 for 1 damage, still alive
[Turn 166.26666666666668] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 166.33333333333334] [Damage event] PLANE_ATTACK: plane 7 damaged by 4 for 1 damage, still alive
[Turn 166.4] [Damage event] PLANE_ATTACK: plane 7 damaged by 3 for 1 damage, still alive
[Turn 167] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 167] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 167.73333333333332] [Damage event] PLANE_ATTACK: plane 1 damaged by 8 for 1 damage, still alive
[Turn 168] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 168] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 168.2] [Damage event] PLANE_ATTACK: plane 5 damaged by 4 for 1 damage, still alive
[Turn 168.2] [Damage event] PLANE_ATTACK: plane 6 damaged by 4 for 1 damage, still alive
[Turn 168.33333333333334] [Damage event] PLANE_ATTACK: plane 5 damaged by 3 for 1 damage, still alive
[Turn 168.33333333333334] [Damage event] PLANE_ATTACK: plane 6 damaged by 3 for 1 damage, still alive
[Turn 169] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 169] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 170] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 170.26666666666668] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 171] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 171] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 172] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 172.26666666666668] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
