---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 22.133333333333333] [Damage event] PLANE_ATTACK: plane 7 damaged by 2 for 1 damage, still alive
[Turn 41.266666666666666] [Damage event] PLANE_ATTACK: plane 9 damaged by 2 for 1 damage, still alive
[Turn 43.666666666666664] [Damage event] PLANE_ATTACK: plane 8 damaged by 1 for 1 damage, still alive
[Turn 44.333333333333336] [Damage event] COLLISION: plane 8 damaged by 3 for 9 damage, now dead
[Turn 44.333333333333336] [Damage event] COLLISION: plane 3 damaged by 8 for 10 damage, now dead
[Turn 45.2] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, still alive
[Turn 46] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, still alive
[Turn 46.733333333333334] [Damage event] PLANE_ATTACK: plane 4 damaged by 5 for 1 damage, still alive
[Turn 77.53333333333333] [Damage event] PLANE_ATTACK: plane 6 damaged by 0 for 1 damage, still alive
[Turn 83.46666666666667] [Damage event] PLANE_ATTACK: plane 9 damaged by 2 for 1 damage, still alive
[Turn 85.53333333333333] [Damage event] PLANE_ATTACK: plane 9 damaged by 4 for 1 damage, still alive
[Turn 86] [Damage event] PLANE_ATTACK: plane 9 damaged by 4 for 1 damage, still alive
[Turn 123.73333333333333] [Damage event] COLLISION: plane 7 damaged by 1 for 9 damage, now dead
[Turn 123.73333333333333] [Damage event] COLLISION: plane 1 damaged by 7 for 10 damage, now dead
[Turn 131.73333333333332] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 132] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 133] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 134] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 135] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 136] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 137] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 166.73333333333332] [Damage event] PLANE_ATTACK: plane 9 damaged by 2 for 1 damage, still alive
[Turn 167] [Damage event] PLANE_ATTACK: plane 9 damaged by 2 for 1 damage, still alive
[Turn 222.73333333333332] [Damage event] PLANE_ATTACK: plane 6 damaged by 4 for 1 damage, still alive
[Turn 223] [Damage event] PLANE_ATTACK: plane 6 damaged by 4 for 1 damage, still alive
[Turn 242.86666666666667] [Damage event] PLANE_ATTACK: plane 4 damaged by 6 for 1 damage, still alive
