---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 0 on 9001
Connected to team 1 on 9002
Game started!
[Turn 23] [Damage event] PLANE_ATTACK: plane 1 damaged by 16 for 1 damage, still alive
[Turn 23.266666666666666] [Damage event] PLANE_ATTACK: plane 16 damaged by 1 for 1 damage, still alive
[Turn 23.4] [Damage event] PLANE_ATTACK: plane 1 damaged by 17 for 1 damage, still alive
[Turn 24] [Damage event] COLLISION: plane 16 damaged by 1 for 9 damage, now dead
[Turn 24] [Damage event] COLLISION: plane 1 damaged by 16 for 3 damage, now dead
[Turn 24] [Damage event] PLANE_ATTACK: plane 1 damaged by 17 for 1 damage, now dead
[Turn 26.133333333333333] [Damage event] PLANE_ATTACK: plane 0 damaged by 14 for 1 damage, still alive
[Turn 26.266666666666666] [Damage event] PLANE_ATTACK: plane 0 damaged by 15 for 1 damage, still alive
[Turn 27] [Damage event] PLANE_ATTACK: plane 0 damaged by 14 for 1 damage, still alive
[Turn 27] [Damage event] PLANE_ATTACK: plane 0 damaged by 15 for 1 damage, still alive
[Turn 35.13333333333333] [Damage event] PLANE_ATTACK: plane 11 damaged by 15 for 1 damage, still alive
[Turn 35.333333333333336] [Damage event] PLANE_ATTACK: plane 14 damaged by 11 for 1 damage, still alive
[Turn 35.666666666666664] [Damage event] PLANE_ATTACK: plane 14 damaged by 12 for 1 damage, still alive
[Turn 35.666666666666664] [Damage event] PLANE_ATTACK: plane 12 damaged by 14 for 1 damage, still alive
[Turn 35.666666666666664] [Damage event] PLANE_ATTACK: plane 12 damaged by 15 for 1 damage, still alive
[Turn 36] [Damage event] PLANE_ATTACK: plane 14 damaged by 11 for 1 damage, still alive
[Turn 36] [Damage event] PLANE_ATTACK: plane 14 damaged by 12 for 1 damage, still alive
[Turn 36] [Damage event] PLANE_ATTACK: plane 12 damaged by 14 for 1 damage, still alive
[Turn 36] [Damage event] PLANE_ATTACK: plane 12 damaged by 15 for 1 damage, still alive
[Turn 36.666666666666664] [Damage event] COLLISION: plane 14 damaged by 12 for 16 damage, now dead
[Turn 36.666666666666664] [Damage event] COLLISION: plane 12 damaged by 14 for 6 damage, now dead
[Turn 41.6] [Damage event] PLANE_ATTACK: plane 18 damaged by 13 for 1 damage, still alive
