---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 20.8] [Damage event] PLANE_ATTACK: plane 2 damaged by 17 for 1 damage, still alive
[Turn 20.933333333333334] [Damage event] PLANE_ATTACK: plane 16 damaged by 2 for 1 damage, still alive
[Turn 20.933333333333334] [Damage event] PLANE_ATTACK: plane 2 damaged by 16 for 1 damage, still alive
[Turn 21] [Damage event] PLANE_ATTACK: plane 16 damaged by 2 for 1 damage, still alive
[Turn 21] [Damage event] PLANE_ATTACK: plane 2 damaged by 16 for 1 damage, still alive
[Turn 21] [Damage event] PLANE_ATTACK: plane 2 damaged by 17 for 1 damage, still alive
[Turn 21.933333333333334] [Damage event] COLLISION: plane 16 damaged by 2 for 8 damage, now dead
[Turn 21.933333333333334] [Damage event] COLLISION: plane 2 damaged by 16 for 16 damage, now dead
[Turn 22.133333333333333] [Damage event] PLANE_ATTACK: plane 17 damaged by 1 for 1 damage, still alive
[Turn 23] [Damage event] PLANE_ATTACK: plane 17 damaged by 1 for 1 damage, still alive
[Turn 23.266666666666666] [Damage event] COLLISION: plane 17 damaged by 1 for 8 damage, now dead
[Turn 23.266666666666666] [Damage event] COLLISION: plane 1 damaged by 17 for 20 damage, now dead
[Turn 31.466666666666665] [Damage event] PLANE_ATTACK: plane 4 damaged by 18 for 1 damage, still alive
[Turn 32] [Damage event] PLANE_ATTACK: plane 4 damaged by 18 for 1 damage, still alive
[Turn 32.53333333333333] [Damage event] PLANE_ATTACK: plane 18 damaged by 4 for 1 damage, still alive
[Turn 33] [Damage event] PLANE_ATTACK: plane 4 damaged by 18 for 1 damage, still alive
[Turn 33.333333333333336] [Damage event] PLANE_ATTACK: plane 0 damaged by 18 for 1 damage, still alive
[Turn 34] [Damage event] PLANE_ATTACK: plane 0 damaged by 18 for 1 damage, still alive
[Turn 34.4] [Damage event] PLANE_ATTACK: plane 18 damaged by 0 for 1 damage, still alive
[Turn 35] [Damage event] PLANE_ATTACK: plane 18 damaged by 0 for 1 damage, still alive
[Turn 36] [Damage event] COLLISION: plane 18 damaged by 0 for 27 damage, now dead
[Turn 36] [Damage event] COLLISION: plane 0 damaged by 18 for 18 damage, now dead
[Turn 39.93333333333333] [Damage event] PLANE_ATTACK: plane 15 damaged by 4 for 1 damage, now dead
[Turn 40.4] [Damage event] PLANE_ATTACK: plane 14 damaged by 4 for 1 damage, now dead
[Turn 49.666666666666664] [Damage event] PLANE_ATTACK: plane 7 damaged by 4 for 1 damage, now dead
[Turn 50.6] [Damage event] PLANE_ATTACK: plane 8 damaged by 4 for 1 damage, now dead
[Turn 59.733333333333334] [Damage event] PLANE_ATTACK: plane 5 damaged by 3 for 1 damage, still alive
[Turn 60] [Damage event] PLANE_ATTACK: plane 5 damaged by 3 for 1 damage, still alive
[Turn 61] [Damage event] PLANE_ATTACK: plane 5 damaged by 3 for 1 damage, still alive
[Turn 61.4] [Damage event] COLLISION: plane 5 damaged by 3 for 2 damage, now dead
[Turn 61.4] [Damage event] COLLISION: plane 3 damaged by 5 for 20 damage, now dead
[Turn 82.8] [Damage event] PLANE_ATTACK: plane 9 damaged by 4 for 1 damage, now dead
[Turn 83.86666666666666] [Damage event] PLANE_ATTACK: plane 10 damaged by 4 for 1 damage, now dead
[Turn 84.86666666666666] [Damage event] PLANE_ATTACK: plane 11 damaged by 4 for 1 damage, now dead
[Turn 94.86666666666666] [Damage event] COLLISION: plane 13 damaged by 4 for 1 damage, now dead
[Turn 94.86666666666666] [Damage event] COLLISION: plane 4 damaged by 13 for 17 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

